,Domain,IP,ASName
0,moodle.colgate.edu,54.89.189.110,AMAZON-AES
1,colgate.edu,149.43.129.1,COLGATE-UNIVERSITY
2,portal.colgate.edu,149.43.134.29,COLGATE-UNIVERSITY
3,google.com,142.250.64.78,GOOGLE
4,instagram.com,31.13.71.174,FACEBOOK
5,netflix.com,54.160.93.182,AMAZON-AES
6,amazon.com,54.239.28.85,AMAZON-02
7,dineoncampus.com,104.26.8.15,CLOUDFLARENET
8,gradescope.com,35.161.191.170,AMAZON-02
9,gmail.com,142.251.40.229,GOOGLE
10,chat.openai.com,104.18.37.228,CLOUDFLARENET
11,youtube.com,142.250.81.238,GOOGLE
12,linkedin.com,13.107.42.14,MICROSOFT-CORP-MSN-AS-BLOCK
13,docs.google.com,142.251.40.110,GOOGLE
14,open.spotify.com,23.44.133.185,AKAMAI-ASN1
15,x.com,104.244.42.1,TWITTER
16,buff.163.com,44.238.241.81,AMAZON-02
17,di.se,34.117.105.189,GOOGLE-CLOUD-PLATFORM
18,docs.google.com,142.251.40.110,GOOGLE
19,www.notion.so,104.18.39.102,CLOUDFLARENET
20,github.com,140.82.113.4,GITHUB
21,drive.google.com,142.251.40.174,GOOGLE
22,pandas.pydata.org,104.26.0.204,CLOUDFLARENET
0,facebook.com1,31.13.71.36,FACEBOOK
1,geolocation.onetrust.com,172.64.155.119,CLOUDFLARENET
2,assets.nflxext.com4,45.57.91.1,NETFLIX-ASN
3,assets.nflxext.com1,45.57.90.1,NETFLIX-ASN
4,ae.nflximg.net1,23.205.22.93,AKAMAI-AS
5,assets.nflxext.com5,45.57.90.1,NETFLIX-ASN
6,ae.nflximg.net,23.205.22.93,AKAMAI-AS
7,assets.nflxext.com12,45.57.91.1,NETFLIX-ASN
8,cdn.cookielaw.org1,104.19.178.52,CLOUDFLARENET
9,assets.nflxext.com14,45.57.90.1,AS-SSI
10,googletagmanager.com,142.251.40.200,GOOGLE
11,ichnaea-web.netflix.com1,18.224.245.197,AMAZON-02
12,logs.netflix.com1,18.223.242.221,AMAZON-02
13,ichnaea-web.netflix.com,3.133.74.206,AMAZON-02
14,netflix.com2,3.225.92.8,AMAZON-AES
15,logs.netflix.com4,18.223.242.221,AMAZON-02
16,logs.netflix.com3,3.133.193.154,AMAZON-02
17,cdn.cookielaw.org,104.19.178.52,CLOUDFLARENET
18,facebook.com,31.13.71.36,FACEBOOK
19,assets.nflxext.com6,45.57.91.1,NETFLIX-ASN
20,assets.nflxext.com7,45.57.91.1,AS-SSI
21,assets.nflxext.com8,45.57.90.1,NETFLIX-ASN
22,assets.nflxext.com,45.57.91.1,NETFLIX-ASN
23,assets.nflxext.com9,45.57.90.1,NETFLIX-ASN
24,cdn.cookielaw.org2,104.19.177.52,CLOUDFLARENET
25,logs.netflix.com2,3.133.193.154,AMAZON-02
26,netflix.com1,54.160.93.182,AMAZON-AES
27,assets.nflxext.com13,45.57.90.1,NETFLIX-ASN
28,assets.nflxext.com15,45.57.91.1,NETFLIX-ASN
29,assets.nflxext.com2,45.57.91.1,NETFLIX-ASN
30,assets.nflxext.com3,45.57.91.1,AS-SSI
