OGDomain,SupportingDomain,IPAddr,City,State,Country
Original Domain: docs.google.com, Querying Domain: docs.google.com8, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: docs.google.com8, IP: 149.43.80.3, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com8, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: docs.google.com8, IP: 199.109.109.57, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: docs.google.com8, IP: 199.109.107.198, Location: Syracuse, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com8, IP: 199.109.107.70, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com8, IP: 72.14.202.166, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com8, IP: 142.251.65.98, Location: Mariners Harbor, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com8, IP: 142.251.65.95, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com47, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com47, IP: 149.43.80.3, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com47, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com47, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com47, IP: 199.109.107.101, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com47, IP: 199.109.107.202, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com47, IP: 199.109.114.18, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com47, IP: 142.251.60.236, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com47, IP: 142.251.60.233, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: apis.google.com1, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: apis.google.com1, IP: 149.43.80.2, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: apis.google.com1, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: apis.google.com1, IP: 199.109.109.57, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: apis.google.com1, IP: 199.109.107.198, Location: Syracuse, New York, US
Original Domain: docs.google.com, Querying Domain: apis.google.com1, IP: 199.109.107.70, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: apis.google.com1, IP: 72.14.202.166, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: apis.google.com1, IP: 142.251.60.180, Location: Mariners Harbor, New York, US
Original Domain: docs.google.com, Querying Domain: apis.google.com1, IP: 192.178.107.42, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: apis.google.com1, IP: 142.251.49.43, Location: Bayonne, New Jersey, US
Original Domain: docs.google.com, Querying Domain: apis.google.com1, IP: 142.251.49.86, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: apis.google.com1, IP: 192.178.106.157, Location: Chelsea, New York, US
Original Domain: docs.google.com, Querying Domain: apis.google.com1, IP: 142.250.46.195, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com59, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com59, IP: 149.43.80.3, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com59, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com59, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com59, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com59, IP: 199.109.107.101, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com59, IP: 199.109.107.202, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com59, IP: 199.109.114.18, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com59, IP: 142.251.60.236, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com59, IP: 142.251.60.233, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com9, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com9, IP: 149.43.80.3, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com9, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com9, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com9, IP: 199.109.107.101, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com9, IP: 199.109.107.202, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com9, IP: 199.109.114.18, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com9, IP: 142.251.60.236, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com9, IP: 142.251.60.233, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com25, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com25, IP: 149.43.80.3, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com25, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com25, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com25, IP: 199.109.107.101, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com25, IP: 199.109.107.202, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com25, IP: 199.109.114.18, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com25, IP: 142.251.60.236, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com25, IP: 142.251.60.233, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: accounts.google.com, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: accounts.google.com, IP: 149.43.80.3, Location: Hamilton, New York, US
