Domain,City,State,Country,Count
dineoncampus.com,San Francisco,California,US,58
dineoncampus.com,Unknown,Unknown,Unknown,216
dineoncampus.com,Hamilton,New York,US,93
dineoncampus.com,Rock Hall,Maryland,US,93
dineoncampus.com,New York City,New York,US,281
dineoncampus.com,Syracuse,New York,US,11
dineoncampus.com,Jersey City,New Jersey,US,5
dineoncampus.com,Bayonne,New Jersey,US,9
dineoncampus.com,Linden,New Jersey,US,1
dineoncampus.com,Newark,New Jersey,US,2
dineoncampus.com,Woodbridge,New Jersey,US,1
dineoncampus.com,Bloomfield,New York,US,1
dineoncampus.com,Edison,New Jersey,US,2
dineoncampus.com,Kansas City,Missouri,US,2
dineoncampus.com,Singapore,Singapore,SG,2
dineoncampus.com,Secaucus,New Jersey,US,202
dineoncampus.com,Hoboken,New Jersey,US,3
dineoncampus.com,Weehawken,New Jersey,US,40
dineoncampus.com,Union City,New Jersey,US,12
pandas.pydata.org,San Francisco,California,US,32
pandas.pydata.org,Unknown,Unknown,Unknown,54
pandas.pydata.org,Hamilton,New York,US,22
pandas.pydata.org,Rock Hall,Maryland,US,22
pandas.pydata.org,Syracuse,New York,US,16
pandas.pydata.org,New York City,New York,US,62
pandas.pydata.org,Hillsboro,Oregon,US,2
pandas.pydata.org,Newark,New Jersey,US,4
colgate.edu,Hamilton,New York,US,121
colgate.edu,Unknown,Unknown,Unknown,200
colgate.edu,Newark,New Jersey,US,2
colgate.edu,Rock Hall,Maryland,US,8
colgate.edu,Syracuse,New York,US,2
colgate.edu,New York City,New York,US,21
colgate.edu,Hoboken,New Jersey,US,1
colgate.edu,Secaucus,New Jersey,US,8
colgate.edu,Weehawken,New Jersey,US,2
colgate.edu,Redmond,Washington,US,2
colgate.edu,Bayonne,New Jersey,US,1
colgate.edu,Edison,New Jersey,US,1
colgate.edu,San Francisco,California,US,2
netflix.com,Ashburn,Virginia,US,3
netflix.com,Unknown,Unknown,Unknown,98
netflix.com,Hamilton,New York,US,36
netflix.com,Rock Hall,Maryland,US,36
netflix.com,Syracuse,New York,US,13
netflix.com,New York City,New York,US,101
netflix.com,Hoboken,New Jersey,US,12
netflix.com,Wilmington,Delaware,US,16
netflix.com,Columbus,Ohio,US,20
