,City,State,Country,Count
0,Albany,New York,US,1
1,Ashburn,Virginia,US,10
2,Bayonne,New Jersey,US,24
3,Bloomfield,New York,US,7
4,Boardman,Oregon,US,4
5,Brook Park,Ohio,US,1
6,Centreville,Virginia,US,2
7,Chelsea,New York,US,7
8,Chicago,Illinois,US,4
9,Colonia,New Jersey,US,4
10,Columbus,Ohio,US,3
11,Denver,Colorado,US,4
12,Edison,New Jersey,US,4
13,Elizabeth,New Jersey,US,10
14,Fremont,California,US,3
15,Hamilton,New York,US,123
16,Hoboken,New Jersey,US,8
17,Jersey City,New Jersey,US,10
18,Kansas City,Missouri,US,8
19,Kearny,New Jersey,US,3
20,Linden,New Jersey,US,4
21,Mariners Harbor,New York,US,6
22,New York City,New York,US,348
23,Newark,New Jersey,US,21
24,North Arlington,New Jersey,US,1
25,North Syracuse,New York,US,1
26,Piscataway,New Jersey,US,8
27,Port Richmond,New York,US,8
28,Rio de Janeiro,Rio de Janeiro,BR,4
29,Rock Hall,Maryland,US,91
30,Salt Lake City,Utah,US,4
31,San Francisco,California,US,49
32,San Jose,California,US,13
33,Secaucus,New Jersey,US,23
34,Syracuse,New York,US,67
35,Unknown,Unknown,Unknown,287
36,Wilmington,Delaware,US,3
37,Woodbridge,New Jersey,US,5
