index,OGDomain,IPAddr,City,State,Country
0,buff163.com,69.16.230.226,Lansing, Michigan,US
1,dineoncampus.com,104.26.8.15,San Francisco, California,US
2,pandas.pydata.org,104.26.0.204,San Francisco, California,US
3,colgate.edu,149.43.129.1,Hamilton, New York,US
4,netflix.com,54.160.93.182,Ashburn, Virginia,US
5,github.com,140.82.113.4,South Riding, Virginia,US
6,drive.google.com,142.251.40.174,New York City, New York,US
7,di.se,34.117.105.189,Kansas City, Missouri,US
8,instagram.com,31.13.71.174,Secaucus, New Jersey,US
9,gradescope.com,35.161.191.170,Boardman, Oregon,US
10,linkedin.com,13.107.42.14,Redmond, Washington,US
11,open.spotify.com,23.44.133.185,Piscataway, New Jersey,US
12,chat.openai.com,104.18.37.228,San Francisco, California,US
13,gmail.com,142.251.40.229,New York City, New York,US
14,amazon.com,54.239.28.85,Ashburn, Virginia,US
15,docs.google.com,142.251.40.110,New York City, New York,US
16,portal.colgate.edu,149.43.134.29,Hamilton, New York,US
17,moodle.colgate.edu,54.89.189.110,Ashburn, Virginia,US
18,www.notion.so,104.18.39.102,San Francisco, California,US
19,google.com,142.250.64.78,New York City, New York,US
20,x.com,104.244.42.1,San Francisco, California,US
21,youtube.com,142.250.81.238,New York City, New York,US
22,docs.google.com,142.250.72.110,New York City, New York,US
23,docs.google.com,142.250.81.227,New York City, New York,US
24,docs.google.com,142.250.64.78,New York City, New York,US
25,docs.google.com,142.250.81.227,New York City, New York,US
26,docs.google.com,142.250.81.227,New York City, New York,US
27,docs.google.com,142.250.81.227,New York City, New York,US
28,docs.google.com,142.251.16.84,Reston, Virginia,US
29,docs.google.com,142.250.81.227,New York City, New York,US
30,docs.google.com,142.250.72.110,New York City, New York,US
31,docs.google.com,142.250.72.110,New York City, New York,US
32,docs.google.com,142.250.81.227,New York City, New York,US
33,docs.google.com,142.250.81.227,New York City, New York,US
34,docs.google.com,142.250.72.110,New York City, New York,US
35,docs.google.com,142.250.81.227,New York City, New York,US
36,docs.google.com,142.250.81.227,New York City, New York,US
37,docs.google.com,172.217.165.142,Newark, New Jersey,US
38,docs.google.com,142.250.81.227,New York City, New York,US
39,docs.google.com,142.250.80.67,New York City, New York,US
40,docs.google.com,142.250.81.227,New York City, New York,US
41,docs.google.com,142.250.81.227,New York City, New York,US
42,docs.google.com,142.250.81.227,New York City, New York,US
43,docs.google.com,142.250.81.227,New York City, New York,US
44,docs.google.com,142.251.32.99,New York City, New York,US
45,docs.google.com,142.250.81.227,New York City, New York,US
46,docs.google.com,142.250.81.227,New York City, New York,US
47,docs.google.com,142.250.65.206,New York City, New York,US
48,docs.google.com,142.251.32.106,New York City, New York,US
49,docs.google.com,142.250.81.227,New York City, New York,US
50,docs.google.com,142.250.81.227,New York City, New York,US
51,docs.google.com,142.251.40.238,New York City, New York,US
52,docs.google.com,142.251.32.97,New York City, New York,US
53,docs.google.com,142.250.81.227,New York City, New York,US
54,docs.google.com,142.250.81.227,New York City, New York,US
55,docs.google.com,142.250.176.202,New York City, New York,US
