index,OGDomain,IPAddr,City,State,Country
0,buff163.com,172.17.0.1,Unknown,Unknown,Unknown
1,buff163.com,149.43.80.3,Hamilton,New York,US
2,buff163.com,10.9.52.10,Unknown,Unknown,Unknown
3,buff163.com,172.16.1.12,Unknown,Unknown,Unknown
4,buff163.com,154.24.3.165,North Syracuse,New York,US
5,buff163.com,154.54.87.237,Albany,New York,US
6,buff163.com,154.54.90.101,Secaucus,New Jersey,US
7,buff163.com,154.54.40.110,Ashburn,Virginia,US
8,buff163.com,154.54.30.66,Ashburn,Virginia,US
9,buff163.com,38.88.214.15,Ashburn,Virginia,US
10,buff163.com,209.59.157.16,Lansing,Michigan,US
11,buff163.com,209.59.157.243,Lansing,Michigan,US
12,dineoncampus.com,172.17.0.1,Unknown,Unknown,Unknown
13,dineoncampus.com,149.43.80.2,Hamilton,New York,US
14,dineoncampus.com,10.9.52.10,Unknown,Unknown,Unknown
15,dineoncampus.com,172.16.1.11,Unknown,Unknown,Unknown
16,dineoncampus.com,199.109.108.41,Rock Hall,Maryland,US
17,dineoncampus.com,199.109.107.101,New York City,New York,US
18,dineoncampus.com,199.109.107.202,New York City,New York,US
19,dineoncampus.com,206.82.104.31,New York City,New York,US
20,dineoncampus.com,172.70.108.2,New York City,New York,US
21,pandas.pydata.org,172.17.0.1,Unknown,Unknown,Unknown
22,pandas.pydata.org,149.43.80.2,Hamilton,New York,US
23,pandas.pydata.org,10.9.52.10,Unknown,Unknown,Unknown
24,pandas.pydata.org,172.16.1.12,Unknown,Unknown,Unknown
25,pandas.pydata.org,199.109.109.57,Rock Hall,Maryland,US
26,pandas.pydata.org,199.109.107.198,Syracuse,New York,US
27,pandas.pydata.org,199.109.107.70,New York City,New York,US
28,pandas.pydata.org,198.32.160.195,New York City,New York,US
29,pandas.pydata.org,172.70.228.2,New York City,New York,US
30,colgate.edu,172.17.0.1,Unknown,Unknown,Unknown
31,colgate.edu,149.43.80.3,Hamilton,New York,US
32,colgate.edu,10.9.52.20,Unknown,Unknown,Unknown
33,colgate.edu,10.9.53.203,Unknown,Unknown,Unknown
34,netflix.com,172.17.0.1,Unknown,Unknown,Unknown
35,netflix.com,149.43.80.3,Hamilton,New York,US
36,netflix.com,10.9.52.10,Unknown,Unknown,Unknown
37,netflix.com,172.16.1.12,Unknown,Unknown,Unknown
38,netflix.com,199.109.109.57,Rock Hall,Maryland,US
39,netflix.com,199.109.107.198,Syracuse,New York,US
40,netflix.com,199.109.107.70,New York City,New York,US
41,netflix.com,198.32.160.64,Hoboken,New Jersey,US
42,github.com,172.17.0.1,Unknown,Unknown,Unknown
43,github.com,149.43.80.2,Hamilton,New York,US
44,github.com,10.9.52.10,Unknown,Unknown,Unknown
45,github.com,172.16.1.12,Unknown,Unknown,Unknown
46,github.com,199.109.109.57,Rock Hall,Maryland,US
47,github.com,199.109.107.198,Syracuse,New York,US
48,github.com,199.109.107.206,New York City,New York,US
49,github.com,199.109.107.201,New York City,New York,US
50,github.com,199.109.107.186,New York City,New York,US
51,github.com,199.109.107.182,New York City,New York,US
52,github.com,206.126.237.205,South Riding,Virginia,US
53,drive.google.com,172.17.0.1,Unknown,Unknown,Unknown
54,drive.google.com,149.43.80.2,Hamilton,New York,US
55,drive.google.com,10.9.52.10,Unknown,Unknown,Unknown
56,drive.google.com,172.16.1.12,Unknown,Unknown,Unknown
57,drive.google.com,199.109.109.57,Rock Hall,Maryland,US
58,drive.google.com,199.109.107.198,Syracuse,New York,US
59,drive.google.com,199.109.107.70,New York City,New York,US
60,drive.google.com,72.14.202.166,New York City,New York,US
61,drive.google.com,216.239.43.154,Bloomfield,New York,US
62,drive.google.com,209.85.253.143,Bayonne,New Jersey,US
63,di.se,172.17.0.1,Unknown,Unknown,Unknown
64,di.se,149.43.80.2,Hamilton,New York,US
65,di.se,10.9.52.10,Unknown,Unknown,Unknown
66,di.se,172.16.1.11,Unknown,Unknown,Unknown
67,di.se,199.109.108.41,Rock Hall,Maryland,US
68,di.se,199.109.107.101,New York City,New York,US
69,di.se,199.109.107.202,New York City,New York,US
70,di.se,199.109.114.18,New York City,New York,US
71,di.se,142.250.63.91,New York City,New York,US
72,di.se,142.250.224.245,Newark,New Jersey,US
73,di.se,189.105.117.34,Rio de Janeiro,Rio de Janeiro,BR
74,instagram.com,172.17.0.1,Unknown,Unknown,Unknown
