,URL,IP,ASName,Domain
0,moodle.colgate.edu,54.89.189.110,AMAZON-AES,moodle.colgate.edu
1,colgate.edu,149.43.129.1,COLGATE-UNIVERSITY,colgate.edu
2,portal.colgate.edu,149.43.134.29,COLGATE-UNIVERSITY,portal.colgate.edu
3,google.com,142.250.64.78,GOOGLE,google.com
4,instagram.com,31.13.71.174,FACEBOOK,instagram.com
5,netflix.com,54.160.93.182,AMAZON-AES,netflix.com
6,amazon.com,54.239.28.85,AMAZON-02,amazon.com
7,dineoncampus.com,104.26.8.15,CLOUDFLARENET,dineoncampus.com
8,gradescope.com,35.161.191.170,AMAZON-02,gradescope.com
9,gmail.com,142.251.40.229,GOOGLE,gmail.com
10,chat.openai.com,104.18.37.228,CLOUDFLARENET,chat.openai.com
11,youtube.com,142.250.81.238,GOOGLE,youtube.com
12,linkedin.com,13.107.42.14,MICROSOFT-CORP-MSN-AS-BLOCK,linkedin.com
13,docs.google.com,142.251.40.110,GOOGLE,docs.google.com
14,open.spotify.com,23.44.133.185,AKAMAI-ASN1,open.spotify.com
15,x.com,104.244.42.1,TWITTER,x.com
16,buff.163.com,44.238.241.81,AMAZON-02,buff.163.com
17,di.se,34.117.105.189,GOOGLE-CLOUD-PLATFORM,di.se
18,docs.google.com,142.251.40.110,GOOGLE,docs.google.com
19,www.notion.so,104.18.39.102,CLOUDFLARENET,www.notion.so
20,github.com,140.82.113.4,GITHUB,github.com
21,drive.google.com,142.251.40.174,GOOGLE,drive.google.com
22,pandas.pydata.org,104.26.0.204,CLOUDFLARENET,pandas.pydata.org
