,City,State,Country,Count
0,Albany,New York,US,2
1,Ashburn,Virginia,US,8
2,Astoria,New York,US,1
3,Bayonne,New Jersey,US,4
4,Bloomfield,New York,US,1
5,Boardman,Oregon,US,1
6,Brook Park,Ohio,US,1
7,Chelsea,New York,US,2
8,Chicago,Illinois,US,1
9,Denver,Colorado,US,1
10,Elizabeth,New Jersey,US,2
11,Hamilton,New York,US,25
12,Hoboken,New Jersey,US,3
13,Jersey City,New Jersey,US,2
14,Kansas City,Missouri,US,2
15,Lansing,Michigan,US,4
16,Linden,New Jersey,US,2
17,New York City,New York,US,57
18,Newark,New Jersey,US,3
19,North Syracuse,New York,US,2
20,Piscataway,New Jersey,US,1
21,Rahway,New Jersey,US,1
22,Redmond,Washington,US,1
23,Rio de Janeiro,Rio de Janeiro,BR,1
24,Rock Hall,Maryland,US,17
25,Salt Lake City,Utah,US,1
26,San Francisco,California,US,11
27,San Jose,California,US,4
28,Secaucus,New Jersey,US,8
29,South Riding,Virginia,US,1
30,Sterling,Virginia,US,1
31,Syracuse,New York,US,12
32,Unknown,Unknown,Unknown,66
33,Washington,Washington D.C.,US,1
