Domain,IPAddr,City,State,Country
Filename: dineoncampus.com.txt, IP: 104.26.8.15, Location: San Francisco, California, US
Filename: dineoncampus.com.txt, IP: 104.26.8.15, Location: San Francisco, California, US
Filename: docs.google.com.txt, IP: 142.251.40.110, Location: New York City, New York, US
Filename: docs.google.com.txt, IP: 142.251.40.110, Location: New York City, New York, US
Filename: pandas.pydata.org.txt, IP: 104.26.0.204, Location: San Francisco, California, US
Filename: pandas.pydata.org.txt, IP: 104.26.0.204, Location: San Francisco, California, US
Filename: gmail.com.txt, IP: 142.251.40.229, Location: New York City, New York, US
Filename: gmail.com.txt, IP: 142.251.40.229, Location: New York City, New York, US
Filename: buff163.com.txt, IP: 69.16.230.226, Location: Lansing, Michigan, US
Filename: buff163.com.txt, IP: 69.16.230.226, Location: Lansing, Michigan, US
Filename: x.com.txt, IP: 104.244.42.1, Location: San Francisco, California, US
Filename: x.com.txt, IP: 104.244.42.1, Location: San Francisco, California, US
Filename: www.notion.so.txt, IP: 104.18.39.102, Location: San Francisco, California, US
Filename: www.notion.so.txt, IP: 104.18.39.102, Location: San Francisco, California, US
Filename: google.com.txt, IP: 142.250.64.78, Location: New York City, New York, US
Filename: google.com.txt, IP: 142.250.64.78, Location: New York City, New York, US
Filename: portal.colgate.edu.txt, IP: 149.43.134.29, Location: Hamilton, New York, US
Filename: portal.colgate.edu.txt, IP: 149.43.134.29, Location: Hamilton, New York, US
Filename: di.se.txt, IP: 34.117.105.189, Location: Kansas City, Missouri, US
Filename: open.spotify.com.txt, IP: 23.44.133.185, Location: Piscataway, New Jersey, US
Filename: github.com.txt, IP: 140.82.113.4, Location: South Riding, Virginia, US
Filename: youtube.com.txt, IP: 142.250.81.238, Location: New York City, New York, US
Filename: youtube.com.txt, IP: 142.250.81.238, Location: New York City, New York, US
Filename: amazon.com.txt, IP: 54.239.28.85, Location: Ashburn, Virginia, US
Filename: linkedin.com.txt, IP: 13.107.42.14, Location: Redmond, Washington, US
Filename: drive.google.com.txt, IP: 142.251.40.174, Location: New York City, New York, US
Filename: drive.google.com.txt, IP: 142.251.40.174, Location: New York City, New York, US
Filename: colgate.edu.txt, IP: 149.43.129.1, Location: Hamilton, New York, US
Filename: instagram.com.txt, IP: 31.13.71.174, Location: Secaucus, New Jersey, US
Filename: chat.openai.com.txt, IP: 104.18.37.228, Location: San Francisco, California, US
Filename: chat.openai.com.txt, IP: 104.18.37.228, Location: San Francisco, California, US
Filename: netflix.com.txt, IP: 54.160.93.182, Location: Ashburn, Virginia, US
Filename: moodle.colgate.edu.txt, IP: 54.89.189.110, Location: Ashburn, Virginia, US
Filename: gradescope.com.txt, IP: 35.161.191.170, Location: Boardman, Oregon, US
