Index,Domain,IP,ASName
0,moodle.colgate.edu,54.89.189.110,AMAZON-AES
1,colgate.edu,149.43.129.1,COLGATE-UNIVERSITY
2,portal.colgate.edu,149.43.134.29,COLGATE-UNIVERSITY
3,google.com,142.250.64.78,GOOGLE
4,instagram.com,31.13.71.174,FACEBOOK
5,netflix.com,54.160.93.182,AMAZON-AES
6,amazon.com,54.239.28.85,AMAZON-02
7,dineoncampus.com,104.26.8.15,CLOUDFLARENET
8,gradescope.com,35.161.191.170,AMAZON-02
9,gmail.com,142.251.40.229,GOOGLE
10,chat.openai.com,104.18.37.228,CLOUDFLARENET
11,youtube.com,142.250.81.238,GOOGLE
12,linkedin.com,13.107.42.14,MICROSOFT-CORP-MSN-AS-BLOCK
13,docs.google.com,142.251.40.110,GOOGLE
14,open.spotify.com,23.44.133.185,AKAMAI-ASN1
15,x.com,104.244.42.1,TWITTER
16,buff.163.com,44.238.241.81,AMAZON-02
17,di.se,34.117.105.189,GOOGLE-CLOUD-PLATFORM
18,docs.google.com,142.251.40.110,GOOGLE
19,www.notion.so,104.18.39.102,CLOUDFLARENET
20,github.com,140.82.113.4,GITHUB
21,drive.google.com,142.251.40.174,GOOGLE
22,pandas.pydata.org,104.26.0.204,CLOUDFLARENET
