Domain,IP,ASName
facebook.com1,31.13.71.36,FACEBOOK
geolocation.onetrust.com,172.64.155.119,CLOUDFLARENET
assets.nflxext.com4,45.57.91.1,NETFLIX-ASN
assets.nflxext.com1,45.57.90.1,NETFLIX-ASN
ae.nflximg.net1,23.205.22.93,AKAMAI-AS
assets.nflxext.com5,45.57.90.1,NETFLIX-ASN
ae.nflximg.net,23.205.22.93,AKAMAI-AS
assets.nflxext.com12,45.57.91.1,NETFLIX-ASN
cdn.cookielaw.org1,104.19.178.52,CLOUDFLARENET
assets.nflxext.com14,45.57.90.1,AS-SSI
googletagmanager.com,142.251.40.200,GOOGLE
ichnaea-web.netflix.com1,18.224.245.197,AMAZON-02
logs.netflix.com1,18.223.242.221,AMAZON-02
ichnaea-web.netflix.com,3.133.74.206,AMAZON-02
netflix.com2,3.225.92.8,AMAZON-AES
logs.netflix.com4,18.223.242.221,AMAZON-02
logs.netflix.com3,3.133.193.154,AMAZON-02
cdn.cookielaw.org,104.19.178.52,CLOUDFLARENET
facebook.com,31.13.71.36,FACEBOOK
assets.nflxext.com6,45.57.91.1,NETFLIX-ASN
assets.nflxext.com7,45.57.91.1,AS-SSI
assets.nflxext.com8,45.57.90.1,NETFLIX-ASN
assets.nflxext.com,45.57.91.1,NETFLIX-ASN
assets.nflxext.com9,45.57.90.1,NETFLIX-ASN
cdn.cookielaw.org2,104.19.177.52,CLOUDFLARENET
logs.netflix.com2,3.133.193.154,AMAZON-02
netflix.com1,54.160.93.182,AMAZON-AES
assets.nflxext.com13,45.57.90.1,NETFLIX-ASN
assets.nflxext.com15,45.57.91.1,NETFLIX-ASN
assets.nflxext.com2,45.57.91.1,NETFLIX-ASN
assets.nflxext.com3,45.57.91.1,AS-SSI
logs.netflix.com,18.223.242.221,AMAZON-02
netflix.com,54.160.93.182,AMAZON-AES
assets.nflxext.com10,45.57.90.1,AS-SSI
assets.nflxext.com11,45.57.90.1,NETFLIX-ASN
occ-0-1948-444.1.nflxso.net,199.109.99.18,NYSERNET-BLK
ssl.gstatic.com45,142.250.81.227,GOOGLE
lh3.google.com,172.217.165.142,GOOGLE
waa-pa.clients6.google.com,142.251.32.106,GOOGLE
play.google.com,142.250.65.206,GOOGLE
ssl.gstatic.com7,142.250.81.227,GOOGLE
play.google.com4,142.250.65.206,GOOGLE
ssl.gstatic.com30,142.250.81.227,GOOGLE
ssl.gstatic.com12,142.250.81.227,GOOGLE
apis.google.com2,142.250.64.78,GOOGLE
fonts.gstatic.com2,142.250.80.67,GOOGLE
ssl.gstatic.com47,142.250.81.227,GOOGLE
ssl.gstatic.com17,142.250.81.227,GOOGLE
fonts.gstatic.com4,142.250.80.67,GOOGLE
docs.google.com6,142.250.72.110,GOOGLE
docs.google.com,142.250.72.110,GOOGLE
docs.google.com8,142.250.72.110,GOOGLE
fonts.gstatic.com,142.250.80.67,GOOGLE
docs.google.com1,142.250.72.110,GOOGLE
docs.google.com5,142.250.72.110,GOOGLE
gstatic.com,142.251.32.99,GOOGLE
clients6.google.com,142.251.40.238,GOOGLE
ssl.gstatic.com31,142.250.81.227,GOOGLE
gstatic.com3,142.251.32.99,GOOGLE
ssl.gstatic.com56,142.250.81.227,GOOGLE
ssl.gstatic.com24,142.250.81.227,GOOGLE
clients6.google.com2,142.251.40.238,GOOGLE
docs.google.com13,142.250.72.110,GOOGLE
ssl.gstatic.com5,142.250.81.227,GOOGLE
docs.google.com11,142.250.72.110,GOOGLE
ogads-pa.clients6.google.com,142.250.81.234,GOOGLE
ssl.gstatic.com27,142.250.81.227,GOOGLE
ssl.gstatic.com22,142.250.81.227,GOOGLE
ssl.gstatic.com19,142.250.81.227,GOOGLE
lh3.googleusercontent.com,142.251.32.97,GOOGLE
apis.google.com,142.250.64.78,GOOGLE
ssl.gstatic.com46,142.250.81.227,GOOGLE
ssl.gstatic.com2,142.250.81.227,GOOGLE
ssl.gstatic.com44,142.250.81.227,GOOGLE
ssl.gstatic.com57,142.250.81.227,GOOGLE
ssl.gstatic.com48,142.250.81.227,GOOGLE
ssl.gstatic.com18,142.250.81.227,GOOGLE
docs.google.com12,142.250.72.110,GOOGLE
ssl.gstatic.com23,142.250.81.227,GOOGLE
ssl.gstatic.com14,142.250.81.227,GOOGLE
gstatic.com1,142.251.32.99,GOOGLE
ssl.gstatic.com4,142.250.81.227,GOOGLE
ssl.gstatic.com42,142.250.81.227,GOOGLE
google.com,142.250.80.78,GOOGLE
accounts.google.com,142.251.16.84,GOOGLE
clients6.google.com5,142.251.40.238,GOOGLE
clients6.google.com1,142.251.40.238,GOOGLE
ssl.gstatic.com21,142.250.81.227,GOOGLE
docs.google.com4,142.250.72.110,GOOGLE
apis.google.com1,142.250.64.78,GOOGLE
ssl.gstatic.com54,142.250.81.227,GOOGLE
ssl.gstatic.com49,142.250.81.227,GOOGLE
signaler-pa.clients6.google.com,142.251.32.106,GOOGLE
ssl.gstatic.com25,142.250.81.227,GOOGLE
ssl.gstatic.com,142.250.81.227,GOOGLE
docs.google.com2,142.250.72.110,GOOGLE
ssl.gstatic.com50,142.250.81.227,GOOGLE
ssl.gstatic.com32,142.250.81.227,GOOGLE
ssl.gstatic.com52,142.250.81.227,GOOGLE
ssl.gstatic.com59,142.250.81.227,GOOGLE
docs.google.com14,142.250.72.110,GOOGLE
docs.google.com3,142.250.72.110,GOOGLE
fonts.gstatic.com1,142.250.80.67,GOOGLE
ssl.gstatic.com51,142.250.81.227,GOOGLE
ssl.gstatic.com6,142.250.81.227,GOOGLE
ssl.gstatic.com36,142.250.81.227,GOOGLE
ssl.gstatic.com20,142.250.81.227,GOOGLE
fonts.googleapis.com,142.250.176.202,GOOGLE
ssl.gstatic.com1,142.250.81.227,GOOGLE
ssl.gstatic.com58,142.250.81.227,GOOGLE
docs.google.com9,142.250.72.110,GOOGLE
ssl.gstatic.com28,142.250.81.227,GOOGLE
ssl.gstatic.com43,142.250.81.227,GOOGLE
ssl.gstatic.com9,142.250.81.227,GOOGLE
ssl.gstatic.com16,142.250.81.227,GOOGLE
ssl.gstatic.com38,142.250.81.227,GOOGLE
play.google.com1,142.250.65.206,GOOGLE
clients6.google.com4,142.251.40.238,GOOGLE
ssl.gstatic.com13,142.250.81.227,GOOGLE
clients6.google.com3,142.251.40.238,GOOGLE
play.google.com3,142.250.65.206,GOOGLE
docs.google.com10,142.250.72.110,GOOGLE
ssl.gstatic.com39,142.250.81.227,GOOGLE
ssl.gstatic.com34,142.250.81.227,GOOGLE
play.google.com2,142.250.65.206,GOOGLE
ssl.gstatic.com53,142.250.81.227,GOOGLE
docs.google.com7,142.250.72.110,GOOGLE
fonts.gstatic.com5,142.250.80.67,GOOGLE
ssl.gstatic.com11,142.250.81.227,GOOGLE
ssl.gstatic.com29,142.250.81.227,GOOGLE
ssl.gstatic.com10,142.250.81.227,GOOGLE
ssl.gstatic.com40,142.250.81.227,GOOGLE
fonts.gstatic.com3,142.250.80.67,GOOGLE
ssl.gstatic.com15,142.250.81.227,GOOGLE
docs.google.com15,142.250.72.110,GOOGLE
ssl.gstatic.com35,142.250.81.227,GOOGLE
ssl.gstatic.com37,142.250.81.227,GOOGLE
gstatic.com2,142.251.32.99,GOOGLE
ssl.gstatic.com41,142.250.81.227,GOOGLE
play.google.com6,142.250.65.206,GOOGLE
ssl.gstatic.com3,142.250.81.227,GOOGLE
ssl.gstatic.com55,142.250.81.227,GOOGLE
ssl.gstatic.com8,142.250.81.227,GOOGLE
ssl.gstatic.com33,142.250.81.227,GOOGLE
ssl.gstatic.com26,142.250.81.227,GOOGLE
waa-pa.clients6.google.com1,142.251.40.106,GOOGLE
play.google.com5,142.250.65.206,GOOGLE
moodle.colgate.edu4,44.195.107.51,AMAZON-AES
moodle.colgate.edu2,44.195.107.51,AMAZON-AES
moodle.colgate.edu9,44.195.107.51,AMAZON-AES
moodle.colgate.edu1,44.195.107.51,AMAZON-AES
moodle.colgate.edu16,54.87.198.165,AMAZON-AES
moodle.colgate.edu13,44.195.107.51,AMAZON-AES
cdn.jsdelivr.net3,199.232.37.229,FASTLY
moodle.colgate.edu14,44.195.107.51,AMAZON-AES
moodle.colgate.edu11,44.195.107.51,AMAZON-AES
moodle.colgate.edu7,44.195.107.51,AMAZON-AES
moodle.colgate.edu5,54.87.198.165,AMAZON-AES
moodle.colgate.edu10,44.195.107.51,AMAZON-AES
cdn.jsdelivr.net2,199.232.37.229,FASTLY
moodle.colgate.edu12,44.195.107.51,AMAZON-AES
ajax.googleapis.com,142.250.80.74,GOOGLE
moodle.colgate.edu8,54.87.198.165,AMAZON-AES
moodle.colgate.edu18,44.195.107.51,AMAZON-AES
cdn.jsdelivr.net1,199.232.37.229,FASTLY
moodle.colgate.edu6,54.87.198.165,AMAZON-AES
cdn.jsdelivr.net,199.232.37.229,FASTLY
moodle.colgate.edu3,44.195.107.51,AMAZON-AES
moodle.colgate.edu17,54.87.198.165,AMAZON-AES
moodle.colgate.edu,54.87.198.165,AMAZON-AES
moodle.colgate.edu15,54.87.198.165,AMAZON-AES
cdn.turnitin.com,18.238.49.116,AMAZON-02
cdn.gradescope.com58,18.238.49.7,AMAZON-02
sessions.bugsnag.com,35.190.88.7,GOOGLE
cdn.gradescope.com43,18.238.49.7,AMAZON-02
cdn.gradescope.com44,18.238.49.17,AMAZON-02
gradescope.com1,44.233.22.27,AMAZON-02
cdn.gradescope.com52,18.238.49.17,AMAZON-02
gradescope-static-assets.s3.amazonaws.com7,52.92.163.89,AMAZON-02
cdn.gradescope.com20,18.238.49.67,AMAZON-02
web-sdk.aptrinsic.com,35.190.35.221,GOOGLE
cdn.gradescope.com,18.238.49.67,AMAZON-02
gradescope-static-assets.s3.amazonaws.com8,52.92.152.185,AMAZON-02
cdn.gradescope.com7,18.238.49.7,AMAZON-02
gradescope-static-assets.s3.amazonaws.com2,52.92.160.185,AMAZON-02
cdn.gradescope.com29,18.238.49.7,AMAZON-02
cdn.gradescope.com35,18.238.49.17,AMAZON-02
cdn.gradescope.com57,18.238.49.67,AMAZON-02
cdn.gradescope.com15,18.238.49.7,AMAZON-02
gradescope-static-assets.s3.amazonaws.com1,52.92.208.41,AMAZON-02
cdn.gradescope.com11,18.238.49.35,AMAZON-02
cdn.gradescope.com36,18.238.49.7,AMAZON-02
cdn.gradescope.com24,18.238.49.17,AMAZON-02
googletagmanager.com,142.251.40.200,GOOGLE
cdn.gradescope.com37,18.238.49.67,AMAZON-02
cdn.gradescope.com39,18.238.49.35,AMAZON-02
gradescope-static-assets.s3.amazonaws.com3,52.218.181.59,AMAZON-02
cdn.gradescope.com9,18.238.49.17,AMAZON-02
gradescope-static-assets.s3.amazonaws.com9,52.92.206.41,AMAZON-02
cdn.gradescope.com33,18.238.49.7,AMAZON-02
cdn.gradescope.com3,18.238.49.67,AMAZON-02
cdn.gradescope.com1,18.238.49.7,AMAZON-02
