OGDomain,SupportingDomain,IPAddr,City,State,Country
Original Domain: docs.google.com, Querying Domain: docs.google.com8, IP: 142.250.72.110, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com47, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: apis.google.com1, IP: 142.250.64.78, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com59, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com9, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com25, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: accounts.google.com, IP: 142.251.16.84, Location: Reston, Virginia, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com21, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com5, IP: 142.250.72.110, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com9, IP: 142.250.72.110, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com29, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com36, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com2, IP: 142.250.72.110, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com48, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com58, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: lh3.google.com, IP: 172.217.165.142, Location: Newark, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com53, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: fonts.gstatic.com5, IP: 142.250.80.67, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com23, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com52, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com13, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com40, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: gstatic.com2, IP: 142.251.32.99, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com27, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com26, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: play.google.com5, IP: 142.250.65.206, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: signaler-pa.clients6.google.com, IP: 142.251.32.106, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com41, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com42, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: clients6.google.com4, IP: 142.251.40.238, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: lh3.googleusercontent.com, IP: 142.251.32.97, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com50, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com11, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: fonts.googleapis.com, IP: 142.250.176.202, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: apis.google.com2, IP: 142.250.64.78, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: play.google.com4, IP: 142.250.65.206, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com30, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: clients6.google.com1, IP: 142.251.40.238, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com56, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: gstatic.com, IP: 142.251.32.99, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: waa-pa.clients6.google.com, IP: 142.251.32.106, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com7, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com8, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com6, IP: 142.250.72.110, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com37, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: fonts.gstatic.com1, IP: 142.250.80.67, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: fonts.gstatic.com3, IP: 142.250.80.67, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com4, IP: 142.250.72.110, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com39, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com35, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com11, IP: 142.250.72.110, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: play.google.com3, IP: 142.250.65.206, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com33, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: clients6.google.com, IP: 142.251.40.238, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: clients6.google.com3, IP: 142.251.40.238, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com3, IP: 142.250.72.110, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com14, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com43, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com16, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com, IP: 142.250.72.110, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com10, IP: 142.250.72.110, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com44, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com28, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: fonts.gstatic.com4, IP: 142.250.80.67, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com19, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: gstatic.com3, IP: 142.251.32.99, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ogads-pa.clients6.google.com, IP: 142.250.81.234, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com7, IP: 142.250.72.110, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com20, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com14, IP: 142.250.72.110, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: fonts.gstatic.com2, IP: 142.250.80.67, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com24, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com51, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com13, IP: 142.250.72.110, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com54, IP: 142.250.81.227, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com55, IP: 142.250.81.227, Location: New York City, New York, US
