,City,State,Country,Count
0,Ashburn,Virginia,US,69
1,Boardman,Oregon,US,41
2,Columbus,Ohio,US,7
3,Culver City,California,US,15
4,Hamilton,New York,US,85
5,Hillsboro,Oregon,US,2
6,Kansas City,Missouri,US,44
7,New York City,New York,US,816
8,Newark,New Jersey,US,14
9,North Syracuse,New York,US,1
10,Piscataway,New Jersey,US,159
11,Redmond,Washington,US,11
12,Reston,Virginia,US,11
13,San Francisco,California,US,311
14,San Jose,California,US,13
15,Secaucus,New Jersey,US,102
16,Shaoxing,Zhejiang,CN,1
17,South Ozone Park,New York,US,108
18,South Riding,Virginia,US,13
19,Tokyo,Tokyo,JP,1
20,Unknown,Unknown,Unknown,11
21,Wilmington,Delaware,US,16
