,City,State,Country,Count
0,Albany,New York,US,17
1,Ashburn,Virginia,US,102
2,Bayonne,New Jersey,US,229
3,Bloomfield,New York,US,155
4,Boardman,Oregon,US,39
5,Boston,Massachusetts,US,6
6,Brook Park,Ohio,US,12
7,Carteret,New Jersey,US,2
8,Chelsea,New York,US,112
9,Chicago,Illinois,US,41
10,Columbus,Ohio,US,48
11,Culver City,California,US,30
12,Dearborn,Michigan,US,1
13,Denver,Colorado,US,39
14,East Orange,New Jersey,US,2
15,East Palo Alto,California,US,1
16,Edison,New Jersey,US,98
17,Elizabeth,New Jersey,US,1
18,Foster City,California,US,38
19,Hamilton,New York,US,1942
20,Hangzhou,Zhejiang,CN,1
21,Harrison,New Jersey,US,3
22,Hatsudai,Tokyo,JP,1
23,Hillsboro,Oregon,US,2
24,Hoboken,New Jersey,US,381
25,Jersey City,New Jersey,US,652
26,Kansas City,Missouri,US,85
27,Linden,New Jersey,US,168
28,London,England,GB,25
29,Mariners Harbor,New York,US,122
30,New York City,New York,US,5804
31,Newark,New Jersey,US,216
32,North Syracuse,New York,US,18
33,Oak Grove,Virginia,US,2
34,Orange,New Jersey,US,28
35,Piscataway,New Jersey,US,160
36,Port Reading,New Jersey,US,4
37,Redmond,Washington,US,10
38,Reston,Virginia,US,11
39,Rio de Janeiro,Rio de Janeiro,BR,14
40,Rock Hall,Maryland,US,1666
41,Salt Lake City,Utah,US,39
42,San Francisco,California,US,488
43,San Jose,California,US,171
44,Santa Clara,California,US,6
45,Secaucus,New Jersey,US,397
46,Shanghai,Shanghai,CN,3
47,Shaoxing,Zhejiang,CN,1
48,Sijiqing,Zhejiang,CN,1
49,Singapore,Singapore,SG,2
50,South Ozone Park,New York,US,108
51,South Riding,Virginia,US,24
52,Syracuse,New York,US,900
53,Tokyo,Tokyo,JP,2
54,Union City,New Jersey,US,12
55,Unknown,Unknown,Unknown,4400
56,Washington,Washington D.C.,US,2
57,Weehawken,New Jersey,US,67
58,Wilmington,Delaware,US,16
59,Woodbridge,New Jersey,US,63
60,Zhenjiang,Jiangsu,CN,1
