Domain: dineoncampus.com, IP: 104.26.8.15, AS Names: CLOUDFLARENET
Domain: docs.google.com, IP: 142.251.40.110, AS Names: GOOGLE
Domain: pandas.pydata.org, IP: 104.26.0.204, AS Names: CLOUDFLARENET
Domain: gmail.com, IP: 142.251.40.229, AS Names: GOOGLE
Domain: buff163.com, IP: 69.16.230.226, AS Names: LIQUIDWEB
Domain: x.com, IP: 104.244.42.1, AS Names: TWITTER
Domain: www.notion.so, IP: 104.18.39.102, AS Names: CLOUDFLARENET
Domain: google.com, IP: 142.250.64.78, AS Names: GOOGLE
Domain: portal.colgate.edu, IP: 149.43.134.29, AS Names: COLGATE-UNIVERSITY
Domain: di.se, IP: 34.117.105.189, AS Names: GOOGLE-CLOUD-PLATFORM
Domain: open.spotify.com, IP: 23.44.133.185, AS Names: AKAMAI-ASN1
Domain: github.com, IP: 140.82.113.4, AS Names: GITHUB
Domain: youtube.com, IP: 142.250.81.238, AS Names: GOOGLE
Domain: amazon.com, IP: 54.239.28.85, AS Names: AMAZON-02
Domain: linkedin.com, IP: 13.107.42.14, AS Names: MICROSOFT-CORP-MSN-AS-BLOCK
Domain: drive.google.com, IP: 142.251.40.174, AS Names: GOOGLE
Domain: colgate.edu, IP: 149.43.129.1, AS Names: COLGATE-UNIVERSITY
Domain: instagram.com, IP: 31.13.71.174, AS Names: FACEBOOK
Domain: chat.openai.com, IP: 104.18.37.228, AS Names: CLOUDFLARENET
Domain: netflix.com, IP: 54.160.93.182, AS Names: AMAZON-AES
Domain: moodle.colgate.edu, IP: 54.89.189.110, AS Names: AMAZON-AES
Domain: gradescope.com, IP: 35.161.191.170, AS Names: AMAZON-02
