,City,State,Count
0,Ashburn,Virginia,69
1,Boardman,Oregon,40
2,Columbus,Ohio,7
3,Culver City,California,15
4,Hamilton,New York,85
5,Hillsboro,Oregon,2
6,Kansas City,Missouri,44
7,Lansing,Michigan,1
8,New York City,New York,816
9,Newark,New Jersey,14
10,North Syracuse,New York,1
11,Piscataway,New Jersey,159
12,Redmond,Washington,11
13,Reston,Virginia,11
14,San Francisco,California,311
15,San Jose,California,13
16,Secaucus,New Jersey,102
17,Shaoxing,Zhejiang,1
18,South Ozone Park,New York,108
19,South Riding,Virginia,13
20,Tokyo,Tokyo,1
21,Unknown,Unknown,11
22,Wilmington,Delaware,16
