,City,State,Count
0,Albany,New York,19
1,Ashburn,Virginia,41
2,Bayonne,New Jersey,232
3,Bloomfield,New York,157
4,Boston,Massachusetts,6
5,Brook Park,Ohio,13
6,Carteret,New Jersey,2
7,Chelsea,New York,114
8,Chicago,Illinois,42
9,Columbus,Ohio,41
10,Dearborn,Michigan,1
11,Denver,Colorado,40
12,East Orange,New Jersey,2
13,East Palo Alto,California,1
14,Edison,New Jersey,98
15,Elizabeth,New Jersey,2
16,Foster City,California,39
17,Hamilton,New York,1849
18,Hangzhou,Zhejiang,1
19,Harrison,New Jersey,4
20,Hatsudai,Tokyo,1
21,Hoboken,New Jersey,385
22,Jersey City,New Jersey,654
23,Kansas City,Missouri,43
24,Lansing,Michigan,2
25,Linden,New Jersey,168
26,London,England,25
27,Mariners Harbor,New York,122
28,New York City,New York,4464
29,Newark,New Jersey,201
30,North Syracuse,New York,19
31,Oak Grove,Virginia,2
32,Orange,New Jersey,28
33,Piscataway,New Jersey,2
34,Port Reading,New Jersey,4
35,Rahway,New Jersey,1
36,Rio de Janeiro,Rio de Janeiro,15
37,Rock Hall,Maryland,1683
38,Salt Lake City,Utah,40
39,San Jose,California,162
40,Santa Clara,California,6
41,Secaucus,New Jersey,299
42,Shanghai,Shanghai,3
43,Sijiqing,Zhejiang,1
44,Singapore,Singapore,2
45,South Riding,Virginia,13
46,Sterling,Virginia,1
47,Syracuse,New York,912
48,Tokyo,Tokyo,1
49,Union City,New Jersey,12
50,Unknown,Unknown,4455
51,Washington,Washington D.C.,2
52,Weehawken,New Jersey,67
53,Woodbridge,New Jersey,63
54,Zhenjiang,Jiangsu,1
