dineoncampus.com, 104.26.8.15
docs.google.com, 142.251.40.110
pandas.pydata.org, 104.26.0.204
gmail.com, 142.251.40.229
buff163.com, 69.16.230.226
x.com, 104.244.42.1
www.notion.so, 104.18.39.102
google.com, 142.250.64.78
portal.colgate.edu, 149.43.134.29
di.se, 189.105.117.34
open.spotify.com, 206.82.104.62
github.com, 206.126.237.205
youtube.com, 142.250.81.238
amazon.com, 52.93.1.40
linkedin.com, 104.44.14.141
drive.google.com, 142.251.40.174
colgate.edu, 10.9.53.203
instagram.com, 129.134.89.139
chat.openai.com, 104.18.37.228
netflix.com, 198.32.160.64
moodle.colgate.edu, 198.32.160.64
gradescope.com, 150.222.97.85
